File Length , Non-Buffered Time Taken (ns)
35500 , 71601441
35600 , 72195020
35700 , 72191262
35800 , 73229545
35900 , 73361508
36000 , 73231945
36100 , 73166245
36200 , 73233425
36300 , 72962655
36400 , 73444398
36500 , 73730130
36600 , 73854472
36700 , 73670883
36800 , 74588329
36900 , 74909833
37000 , 74747148
37100 , 75455753
37200 , 76731499
37300 , 75577466
37400 , 75579993
37500 , 75401439
37600 , 76069926
37700 , 76166458
37800 , 76509343
37900 , 76253343
38000 , 76831571
38100 , 76791046
38200 , 76977365
38300 , 78404590
38400 , 78621320
38500 , 79437463
38600 , 77609211
38700 , 78102180
38800 , 78726367
38900 , 79008440
39000 , 79001195
39100 , 78649709
39200 , 79070903
39300 , 79745367
39400 , 79825702
39500 , 81060535
39600 , 81104092
39700 , 81936791
39800 , 80990895
39900 , 81657853
40000 , 81425052
40100 , 81072282
40200 , 81336178
40300 , 81507235
40400 , 81956014
40500 , 82087382
40600 , 82288306
40700 , 82832817
40800 , 83660672
40900 , 83855390
41000 , 83737765
41100 , 83963697
41200 , 83706277
41300 , 83928591
41400 , 84414587
41500 , 84289232
41600 , 84555716
41700 , 84791154
41800 , 84882568
41900 , 85843576
42000 , 85778327
42100 , 86100068
42200 , 85539075
42300 , 85063800
42400 , 85820105
42500 , 85647572
42600 , 86281373
42700 , 86232305
42800 , 86883334
42900 , 86927895
43000 , 86634889
43100 , 87242744
43200 , 87410659
43300 , 88533300
43400 , 88333575
43500 , 88005429
43600 , 88147043
43700 , 88260079
43800 , 88547997
43900 , 88723281
44000 , 88809834
44100 , 88795093
44200 , 89762377
44300 , 89852534
44400 , 91634641
44500 , 90991183
44600 , 91020822
44700 , 91636895
44800 , 91128395
44900 , 91013771
45000 , 90802495
45100 , 91398321
45200 , 91466399
45300 , 92255582
45400 , 91802216
45500 , 93018150
45600 , 92214951
45700 , 91868461
45800 , 92457320
45900 , 93020425
46000 , 93835189
46100 , 93870955
46200 , 93729992
46300 , 94368804
46400 , 94554463
46500 , 94419401
46600 , 95375610
46700 , 94700690
46800 , 95352847
46900 , 94294690
47000 , 94483789
47100 , 95288835
47200 , 95025113
47300 , 95393530
47400 , 96093217
47500 , 95864767
47600 , 97226680
47700 , 96266811
47800 , 96637825
