File Length , Non-Buffered Time Taken (ns)
34800 , 42861957
33800 , 42160188
122100 , 112795683
179700 , 172298294
28600 , 58813636
95200 , 97196339
158300 , 144655281
181800 , 168035223
11400 , 19973907
74800 , 80593920
18300 , 21191249
62800 , 64401559
25500 , 37922780
60900 , 65954206
164100 , 160014696
20100 , 28067243
119900 , 116161248
92500 , 89833121
180300 , 170906861
94200 , 97256831
111700 , 151049686
32400 , 59428312
109100 , 107029663
130700 , 129777053
188000 , 179779672
62500 , 66542898
93300 , 95210141
62900 , 70198634
26200 , 37208748
116200 , 114787352
87700 , 86077765
191700 , 176124174
800 , 7043864
175000 , 161491069
139700 , 134202599
22500 , 34019147
70600 , 72385336
900 , 1323723
56200 , 53516343
3200 , 16406542
149900 , 154406073
117400 , 116497962
127800 , 119369716
16400 , 24629132
165300 , 154658153
198200 , 187495969
164800 , 157483526
87600 , 87427315
118300 , 124819541
56700 , 61301429
169200 , 170519656
62400 , 67320462
112000 , 115096002
106100 , 103040570
111300 , 103884656
9600 , 20059261
174300 , 160184409
68800 , 70847813
24900 , 29371231
75400 , 71686238
80900 , 77723903
44800 , 48306272
166700 , 157918148
162000 , 148376378
18500 , 30564615
119600 , 116490780
104500 , 97722281
47900 , 50806726
52700 , 60383671
52900 , 54685658
75600 , 73002234
197000 , 182094668
51600 , 58525776
36100 , 36986778
75800 , 69899851
159600 , 150506177
22100 , 26025492
139200 , 133462893
133000 , 121675239
79000 , 81665583
128300 , 123364468
184900 , 182824337
56500 , 61142626
99900 , 98527160
7400 , 17945900
142400 , 131711994
57400 , 56634103
125700 , 116493019
8300 , 13000973
192200 , 180314989
147600 , 131656461
98500 , 101072927
179500 , 170392871
117300 , 115418638
27100 , 31424654
147700 , 129870747
70800 , 72344066
155600 , 147929893
194600 , 194995966
97700 , 96489533
133300 , 140123642
63200 , 74529635
151700 , 143915733
97400 , 104220111
43300 , 54865192
180700 , 170996431
10000 , 17548519
106900 , 108494348
186300 , 181561190
13200 , 47507462
100500 , 112630714
58500 , 63367259
163900 , 155908852
83500 , 90689046
113100 , 107507795
192100 , 187568995
2800 , 6018731
148400 , 139445478
65800 , 67754759
84300 , 99113489
74900 , 81072346
182600 , 165577351
79100 , 76857147
67300 , 65201008
48800 , 55637878
112200 , 104508256
2600 , 15882842
161100 , 148304727
191600 , 178704567
1000 , 5989797
1500 , 4233323
153000 , 148969957
177100 , 160823769
19800 , 25100011
180900 , 172480882
123700 , 116577090
9000 , 18224077
140100 , 135422993
10200 , 21522136
92300 , 88770843
30500 , 42173023
53000 , 56128215
89500 , 90170440
74400 , 83503225
53200 , 53213577
71000 , 66760690
32500 , 36372952
107400 , 107253680
5100 , 17020232
105400 , 106945314
177000 , 167674009
79800 , 78718271
56100 , 57915968
196500 , 181606432
184400 , 174611780
161300 , 155638724
133100 , 122963607
50700 , 55616024
68300 , 71826148
67700 , 68816423
81800 , 82543634
103100 , 102251505
39800 , 43506645
71900 , 73697708
17900 , 23916214
151000 , 144597352
5800 , 48998788
95600 , 90387994
16300 , 26045587
