String Length , Time Taken (ns)
35700 , 99200735
35800 , 100410061
35900 , 103192246
36000 , 105364941
36100 , 110154093
36200 , 106385354
36300 , 101667775
36400 , 103084935
36500 , 99734405
36600 , 97428812
36700 , 105078386
36800 , 100357937
36900 , 101271868
37000 , 105283088
37100 , 119542535
37200 , 121410614
37300 , 125983310
37400 , 110179101
37500 , 101512896
37600 , 107810524
37700 , 110589896
37800 , 110208344
37900 , 104453176
38000 , 104962058
38100 , 108313360
38200 , 109749184
38300 , 105893402
38400 , 106026825
38500 , 117980373
38600 , 108958569
38700 , 108682038
38800 , 110634482
38900 , 110178316
39000 , 110935549
39100 , 115472756
39200 , 110426804
39300 , 111018021
39400 , 117778729
39500 , 117757227
39600 , 116193094
39700 , 116286307
39800 , 117372221
39900 , 120303121
40000 , 119545803
40100 , 120183381
40200 , 125652862
40300 , 141430351
40400 , 136401838
40500 , 126138695
40600 , 124693221
40700 , 141167682
40800 , 130187741
40900 , 139992463
41000 , 131230049
41100 , 126170894
41200 , 132314659
41300 , 130184708
41400 , 129944289
41500 , 126028305
41600 , 132427809
41700 , 128333588
41800 , 133175889
41900 , 125491933
42000 , 132456417
42100 , 129328171
42200 , 135766084
42300 , 152050161
42400 , 143321441
42500 , 142808485
42600 , 136534524
42700 , 136419942
42800 , 133351887
42900 , 134237878
43000 , 137980818
43100 , 137149081
43200 , 133450112
43300 , 135985906
43400 , 139462436
43500 , 135747493
43600 , 141585746
43700 , 137683691
43800 , 137029924
43900 , 139800278
44000 , 140917603
44100 , 140789965
44200 , 141792492
44300 , 142345129
44400 , 143831976
44500 , 143880403
44600 , 146083301
44700 , 148538522
44800 , 147632332
44900 , 148152615
45000 , 148785994
45100 , 148476187
45200 , 150799989
45300 , 148037114
45400 , 153250702
45500 , 151343085
45600 , 155784748
45700 , 159011351
45800 , 156897334
45900 , 159369143
46000 , 177560463
46100 , 166496599
46200 , 198696108
46300 , 171990877
46400 , 160958862
46500 , 168461215
46600 , 176816741
