File Length , Buffer Size (Byte), Buffered Time Taken (ns)
78600 , 0 , 22219670
154200 , 0 , 18253825
132500 , 0 , 19666328
128200 , 0 , 19101118
85100 , 0 , 13383736
48900 , 0 , 11518200
17100 , 0 , 10387912
56000 , 0 , 12464575
94100 , 0 , 12790271
71800 , 0 , 17220958
66700 , 0 , 10169057
199500 , 0 , 25359928
47400 , 0 , 12995318
123300 , 0 , 17146249
156800 , 0 , 19469279
32800 , 0 , 12906061
145700 , 0 , 16085294
99300 , 0 , 11383289
194000 , 0 , 20090780
94600 , 0 , 19777297
63300 , 0 , 15270664
110000 , 0 , 11553654
108100 , 0 , 11504955
113700 , 0 , 13228180
198900 , 0 , 15372754
77800 , 0 , 18422853
159900 , 0 , 19834772
177800 , 0 , 11906534
119200 , 0 , 15344974
4700 , 0 , 7102689
128400 , 0 , 17023415
52000 , 0 , 11525394
169000 , 0 , 11297018
55600 , 0 , 10933893
139100 , 0 , 10563188
46700 , 0 , 8942700
130300 , 0 , 11847018
77000 , 0 , 16952719
141600 , 0 , 18476629
38300 , 0 , 6903489
23500 , 0 , 13711811
131200 , 0 , 12910219
75000 , 0 , 15724422
21500 , 0 , 13445119
34100 , 0 , 11312116
126600 , 0 , 10635084
67500 , 0 , 16949120
145800 , 0 , 20318073
151800 , 0 , 13384538
119800 , 0 , 11585912
177900 , 0 , 109905777
36300 , 0 , 22396321
45200 , 0 , 16540271
48600 , 0 , 7913464
199400 , 0 , 9715073
102600 , 0 , 13692836
174800 , 0 , 10196156
150700 , 0 , 16823248
46100 , 0 , 12587331
161800 , 0 , 16495634
112700 , 0 , 15813898
100800 , 0 , 17327119
66500 , 0 , 16612713
196600 , 0 , 10957523
173700 , 0 , 13815792
90500 , 0 , 17225048
53100 , 0 , 11109216
163100 , 0 , 12702800
83100 , 0 , 16935385
104800 , 0 , 10045208
92700 , 0 , 17908407
97600 , 0 , 8397138
156000 , 0 , 19292020
77200 , 0 , 16994100
150800 , 0 , 23767172
128800 , 0 , 20305966
99000 , 0 , 15792779
91900 , 0 , 16835131
188700 , 0 , 19390123
60100 , 0 , 8185798
107700 , 0 , 7178338
129800 , 0 , 14670092
25300 , 0 , 14221978
153600 , 0 , 18831631
183100 , 0 , 18236736
102100 , 0 , 20098281
176500 , 0 , 20123000
115600 , 0 , 19128631
73400 , 0 , 14114629
33700 , 0 , 14062730
114000 , 0 , 11748519
29200 , 0 , 10532844
39300 , 0 , 10330231
170000 , 0 , 14723645
95500 , 0 , 9315223
99400 , 0 , 16141475
76400 , 0 , 18276063
6400 , 0 , 10589468
23900 , 0 , 13487856
80600 , 0 , 12761230
194700 , 0 , 16692692
45700 , 0 , 16411351
80100 , 0 , 11520081
111800 , 0 , 12793004
51500 , 0 , 14109674
13500 , 0 , 8475750
52200 , 0 , 13288964
169700 , 0 , 14859345
144900 , 0 , 20100557
34800 , 0 , 12768728
33800 , 0 , 9245563
122100 , 0 , 19167786
179700 , 0 , 10434366
28600 , 0 , 11054400
95200 , 0 , 9369339
158300 , 0 , 13135062
181800 , 0 , 13934209
11400 , 0 , 11765657
74800 , 0 , 16250161
18300 , 0 , 14360061
62800 , 0 , 6046668
25500 , 0 , 11407045
60900 , 0 , 16299454
164100 , 0 , 12949015
20100 , 0 , 10774781
119900 , 0 , 18814821
92500 , 0 , 17293983
180300 , 0 , 18907055
94200 , 0 , 12877895
111700 , 0 , 10838168
32400 , 0 , 12279069
