File Length , Buffer Size (Byte), Buffered Time Taken (ns)
78600 , 0 , 17777386
154200 , 0 , 12677653
132500 , 0 , 19363527
128200 , 0 , 18112091
85100 , 0 , 13077502
48900 , 0 , 11646363
17100 , 0 , 10709343
56000 , 0 , 12649482
94100 , 0 , 12266264
71800 , 0 , 17323360
66700 , 0 , 10392297
199500 , 0 , 17231083
47400 , 0 , 10013232
123300 , 0 , 16028491
156800 , 0 , 17447080
32800 , 0 , 15919067
145700 , 0 , 13702532
99300 , 0 , 12509347
194000 , 0 , 17714850
94600 , 0 , 11363268
63300 , 0 , 15970783
110000 , 0 , 10437605
108100 , 0 , 11628642
113700 , 0 , 13325941
198900 , 0 , 15327195
77800 , 0 , 20083123
159900 , 0 , 19357242
177800 , 0 , 13014122
119200 , 0 , 14683529
4700 , 0 , 6996414
128400 , 0 , 17150284
52000 , 0 , 11633010
169000 , 0 , 10938659
55600 , 0 , 11430378
139100 , 0 , 18956829
46700 , 0 , 11047095
130300 , 0 , 10636895
77000 , 0 , 17273768
141600 , 0 , 16608546
38300 , 0 , 9567444
23500 , 0 , 13788950
131200 , 0 , 10847871
75000 , 0 , 6666463
21500 , 0 , 13684038
34100 , 0 , 10914562
126600 , 0 , 8856382
67500 , 0 , 8489131
145800 , 0 , 18148856
151800 , 0 , 12679860
119800 , 0 , 14161607
177900 , 0 , 10426250
36300 , 0 , 11952086
45200 , 0 , 16497804
48600 , 0 , 7868662
199400 , 0 , 9833957
102600 , 0 , 13769385
174800 , 0 , 9854248
150700 , 0 , 16884688
46100 , 0 , 13172025
161800 , 0 , 16174690
112700 , 0 , 15429231
100800 , 0 , 17751805
66500 , 0 , 16430501
196600 , 0 , 9073104
173700 , 0 , 222730034
90500 , 0 , 28898575
53100 , 0 , 11353884
163100 , 0 , 12282949
83100 , 0 , 18492380
104800 , 0 , 9638995
92700 , 0 , 17495995
97600 , 0 , 8811648
156000 , 0 , 19263028
77200 , 0 , 16911100
150800 , 0 , 12448534
128800 , 0 , 9353364
99000 , 0 , 15902394
91900 , 0 , 16770337
188700 , 0 , 18928691
60100 , 0 , 9400700
107700 , 0 , 7213238
129800 , 0 , 12637503
25300 , 0 , 16051598
153600 , 0 , 17575604
183100 , 0 , 18715794
102100 , 0 , 20049802
176500 , 0 , 20121121
115600 , 0 , 18514678
73400 , 0 , 15242691
33700 , 0 , 14219720
114000 , 0 , 11076170
29200 , 0 , 11211770
39300 , 0 , 10372872
170000 , 0 , 13370323
95500 , 0 , 10523705
99400 , 0 , 16071781
76400 , 0 , 18209533
6400 , 0 , 10883265
23900 , 0 , 13515299
80600 , 0 , 11977376
194700 , 0 , 16528860
45700 , 0 , 17337463
80100 , 0 , 11057579
111800 , 0 , 12617579
51500 , 0 , 14982915
13500 , 0 , 8152261
52200 , 0 , 13231261
169700 , 0 , 14532850
144900 , 0 , 19071854
34800 , 0 , 14409317
33800 , 0 , 9290526
122100 , 0 , 18058470
179700 , 0 , 12265602
28600 , 0 , 10191763
95200 , 0 , 9058141
158300 , 0 , 13239221
181800 , 0 , 13254052
11400 , 0 , 12867721
74800 , 0 , 16097263
18300 , 0 , 14543745
62800 , 0 , 6096348
25500 , 0 , 11556514
60900 , 0 , 16074002
164100 , 0 , 12629690
20100 , 0 , 11234807
119900 , 0 , 18326296
92500 , 0 , 17373634
180300 , 0 , 18508558
94200 , 0 , 13833188
111700 , 0 , 10588743
32400 , 0 , 12200506
109100 , 0 , 12667993
130700 , 0 , 16843773
188000 , 0 , 8394618
62500 , 0 , 12616305
93300 , 0 , 13004404
62900 , 0 , 10158888
26200 , 0 , 11461148
116200 , 0 , 15991007
87700 , 0 , 10355132
191700 , 0 , 12808569
800 , 0 , 14349879
175000 , 0 , 14674218
139700 , 0 , 19521647
22500 , 0 , 11659698
70600 , 0 , 12125294
900 , 0 , 1042301
56200 , 0 , 9653648
3200 , 0 , 6174879
149900 , 0 , 11719445
117400 , 0 , 9179569
127800 , 0 , 7612387
16400 , 0 , 13146028
165300 , 0 , 26393842
198200 , 0 , 17076573
164800 , 0 , 18191340
87600 , 0 , 13634249
118300 , 0 , 14411866
56700 , 0 , 8662558
169200 , 0 , 101191943
62400 , 0 , 107594275
112000 , 0 , 69638803
106100 , 0 , 28729333
111300 , 0 , 9991853
9600 , 0 , 6868002
174300 , 0 , 18920359
68800 , 0 , 7047737
24900 , 0 , 12380483
75400 , 0 , 7468032
80900 , 0 , 14276058
44800 , 0 , 16474777
166700 , 0 , 18274105
162000 , 0 , 10161679
18500 , 0 , 11577831
119600 , 0 , 8256352
104500 , 0 , 12533174
47900 , 0 , 7650769
52700 , 0 , 14971834
52900 , 0 , 12234519
75600 , 0 , 8315552
197000 , 0 , 13418019
51600 , 0 , 14791509
36100 , 0 , 7016225
75800 , 0 , 3146980
159600 , 0 , 15751444
22100 , 0 , 8472514
139200 , 0 , 10245643
133000 , 0 , 7908285
79000 , 0 , 9341495
128300 , 0 , 12514247
184900 , 0 , 11651266
56500 , 0 , 6617341
99900 , 0 , 16296493
7400 , 0 , 9796523
142400 , 0 , 17150373
57400 , 0 , 6620355
125700 , 0 , 14707628
8300 , 0 , 14517401
192200 , 0 , 10777935
147600 , 0 , 18065151
98500 , 0 , 10654035
179500 , 0 , 11559109
117300 , 0 , 14048815
27100 , 0 , 11295877
147700 , 0 , 2650234
70800 , 0 , 9015091
155600 , 0 , 19754772
